employee_id,name,email,department,extra_activities,annual_day_participation,slack_data.slack_id,slack_data.channels_joined,slack_data.messages_sent,slack_data.reactions_given,slack_data.mentions_received,slack_data.active_hours,jira_data.jira_user,jira_data.tickets,jira_data.total_hours,sacufit.bmi,sacufit.fitness_level
EMP001,Shreya Patel,shreya.patel@company.com,Marketing,"['AWS Certified', 'Organized Team Building']",['Event Host'],@user_emp001,['#random'],197,37,8,33.9,EMP001,"[{'ticket_id': 'OPS-133', 'hours_spent': 7.8}, {'ticket_id': 'OPS-586', 'hours_spent': 10.6}, {'ticket_id': 'OPS-406', 'hours_spent': 5.7}, {'ticket_id': 'OPS-622', 'hours_spent': 10.8}, {'ticket_id': 'OPS-767', 'hours_spent': 5.7}, {'ticket_id': 'OPS-937', 'hours_spent': 4.7}, {'ticket_id': 'OPS-649', 'hours_spent': 6.0}]",51.300000000000004,19.6,Excellent
EMP002,Priya Bose,priya.bose@company.com,Finance,"['Mentorship Program', 'Azure Certified', 'Organized Team Building']","['Event Host', 'Drama Play']",@user_emp002,"['#random', '#product']",57,36,3,23.5,EMP002,"[{'ticket_id': 'HR-891', 'hours_spent': 8.7}, {'ticket_id': 'HR-673', 'hours_spent': 8.4}, {'ticket_id': 'HR-440', 'hours_spent': 1.9}, {'ticket_id': 'HR-820', 'hours_spent': 9.5}]",28.5,19.9,Good
EMP003,Sneha Sharma,sneha.sharma@company.com,Finance,"['GCP Certified', 'Azure Certified']",[],@user_emp003,"['#product', '#engineering']",55,39,1,26.6,EMP003,"[{'ticket_id': 'PROD-625', 'hours_spent': 1.2}, {'ticket_id': 'PROD-310', 'hours_spent': 9.9}]",11.1,22.3,Good
EMP004,Kavya Kumar,kavya.kumar@company.com,Marketing,"['Mentorship Program', 'Azure Certified']",['Event Host'],@user_emp004,"['#product', '#support']",198,28,16,38.4,EMP004,"[{'ticket_id': 'FIN-614', 'hours_spent': 3.0}, {'ticket_id': 'FIN-478', 'hours_spent': 3.9}, {'ticket_id': 'FIN-766', 'hours_spent': 6.1}, {'ticket_id': 'FIN-292', 'hours_spent': 1.3}, {'ticket_id': 'FIN-164', 'hours_spent': 6.9}, {'ticket_id': 'FIN-547', 'hours_spent': 6.3}, {'ticket_id': 'FIN-266', 'hours_spent': 1.3}]",28.800000000000004,27.2,Good
EMP005,Priya Patel,priya.patel@company.com,Product,"['Helping Interview Panel', 'Mentorship Program', 'Azure Certified']",['Singing'],@user_emp005,"['#random', '#support']",200,17,14,15.2,EMP005,"[{'ticket_id': 'PROD-119', 'hours_spent': 4.8}, {'ticket_id': 'PROD-391', 'hours_spent': 8.5}, {'ticket_id': 'PROD-142', 'hours_spent': 4.7}, {'ticket_id': 'PROD-458', 'hours_spent': 11.1}, {'ticket_id': 'PROD-748', 'hours_spent': 1.6}, {'ticket_id': 'PROD-151', 'hours_spent': 9.8}, {'ticket_id': 'PROD-288', 'hours_spent': 6.2}, {'ticket_id': 'PROD-153', 'hours_spent': 3.9}]",50.6,22.2,Good
EMP006,Shreya Joshi,shreya.joshi@company.com,Engineering,"['Azure Certified', 'Mentorship Program', 'AWS Certified']","['Singing', 'Drama Play']",@user_emp006,['#support'],195,33,12,31.2,EMP006,"[{'ticket_id': 'PROD-590', 'hours_spent': 1.8}, {'ticket_id': 'PROD-286', 'hours_spent': 7.4}]",9.200000000000001,25.1,Good
EMP007,Aarav Reddy,aarav.reddy@company.com,Engineering,"['Organized Team Building', 'GCP Certified', 'Hackathon Winner']","['Dance Performance', 'Drama Play']",@user_emp007,"['#random', '#engineering']",42,18,7,23.0,EMP007,"[{'ticket_id': 'OPS-129', 'hours_spent': 11.6}, {'ticket_id': 'OPS-138', 'hours_spent': 5.7}, {'ticket_id': 'OPS-949', 'hours_spent': 5.9}, {'ticket_id': 'OPS-936', 'hours_spent': 2.8}, {'ticket_id': 'OPS-580', 'hours_spent': 7.8}, {'ticket_id': 'OPS-718', 'hours_spent': 4.1}, {'ticket_id': 'OPS-606', 'hours_spent': 10.7}]",48.60000000000001,22.4,Average
EMP008,Sneha Nair,sneha.nair@company.com,HR,"['Organized Team Building', 'Helping Interview Panel', 'Azure Certified']",['Singing'],@user_emp008,['#engineering'],149,26,20,7.1,EMP008,"[{'ticket_id': 'HR-492', 'hours_spent': 2.7}, {'ticket_id': 'HR-740', 'hours_spent': 10.9}, {'ticket_id': 'HR-813', 'hours_spent': 9.4}, {'ticket_id': 'HR-266', 'hours_spent': 2.2}, {'ticket_id': 'HR-766', 'hours_spent': 10.6}, {'ticket_id': 'HR-755', 'hours_spent': 5.4}, {'ticket_id': 'HR-997', 'hours_spent': 11.5}]",52.699999999999996,23.9,Average
EMP009,Vikram Nair,vikram.nair@company.com,Finance,['Organized Team Building'],"['Singing', 'Drama Play']",@user_emp009,"['#product', '#random', '#hackathon']",77,45,13,14.2,EMP009,"[{'ticket_id': 'OPS-237', 'hours_spent': 6.8}, {'ticket_id': 'OPS-292', 'hours_spent': 4.6}, {'ticket_id': 'OPS-555', 'hours_spent': 1.1}, {'ticket_id': 'OPS-885', 'hours_spent': 9.6}, {'ticket_id': 'OPS-891', 'hours_spent': 5.4}]",27.5,21.9,Excellent
EMP010,Priya Joshi,priya.joshi@company.com,Product,"['AWS Certified', 'GCP Certified']",[],@user_emp010,"['#hackathon', '#random', '#engineering']",140,43,7,24.1,EMP010,"[{'ticket_id': 'HR-271', 'hours_spent': 3.3}, {'ticket_id': 'HR-604', 'hours_spent': 10.9}, {'ticket_id': 'HR-434', 'hours_spent': 11.7}, {'ticket_id': 'HR-526', 'hours_spent': 6.9}, {'ticket_id': 'HR-554', 'hours_spent': 7.4}, {'ticket_id': 'HR-109', 'hours_spent': 2.2}]",42.4,18.5,Good
